"","session","created","modified","ended","expired","code","ran_group","abode","yourstory","mc_polytheism","mc_god","mc_multi_gods","multiplechoice_several","mc_multiple_many","rating_button","rating_button2","rating_button3","your_email","teeth","slider_list","slider","time_period","partner","btnmc","hobbies","confirm1","confirm2","time","last_toenail_cut","month","datetimelocaltest","datetimetest","yearmonthtest","weektest","telephone","internet_address","creditcard","colour","last_outside_referrer","ip_address","browser","fav_tv_series","m_fav_tv_series","monotheist","kitten","if_you_like_kittens","puppy","if_you_like_puppies","timez","tough1","tough2","the_needy","suffering_animals","phone_number"
"11",NA,"2019-10-21 18:43:06","2019-10-21 18:43:34","2019-10-21 18:43:34",NA,"",0,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.83.231","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",1,1,0,0,"1234567890"
"12",NA,"2019-10-21 18:43:39","2019-10-21 18:44:06","2019-10-21 18:44:06",NA,"",0,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",3,3,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.83.231","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",3,3,0,0,"1234567890"
"13",NA,"2019-10-21 18:45:27","2019-10-21 18:45:42","2019-10-21 18:45:42",NA,"",0,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.83.231","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",5,5,0,0,"1234567890"
"14",NA,"2019-10-21 18:45:47","2019-10-21 18:46:13","2019-10-21 18:46:13",NA,"",1,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",2,2,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.83.231","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",NA,NA,2,NA,"0",2,2,0,0,"1234567890"
"15",NA,"2019-10-22 15:03:46",NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"2019-10-22 15:08:16","2019-10-22 15:14:16","2019-10-22 15:14:16",NA,"",0,"asdfda","der neckar, stocherkähne",1,NA,NA,3,"1, 2, 3",2,2,4,"testest@student.uni-tuebingen.de",0,3,51,"devonian","2",1,"1, 2, 3, 4",1,1,"12:00:00","2019-01-30",NA,NA,NA,NA,NA,NA,NA,NA,"#584bbc",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0","Adventure Time","Sherlock,Perfect family,testest,tatort reiniger","0",2,NA,NA,NA,"3",2,3,90,10,"666"
"17",NA,"2019-10-22 15:10:02",NA,NA,NA,"",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"2019-10-22 15:17:00",NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","faithfulGilaMonsterXXXZjKbXEUzXoa5V6aX6rAheEDVgeXLaBsDXIZPiFd41l","2019-10-22 15:28:11","2019-10-22 15:29:18","2019-10-22 15:29:18",NA,"faithfulGilaMonsterXXXZjKbXEUzXoa5V6aX6rAheEDVgeXLaBsDXIZPiFd41l",0,"thank the formr monkey","thank the formr monkey
many times",1,NA,NA,4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",6,6,0,0,"1234567890"
"20","realChinXXXSQ02-_cRsjI9agSPUGigLzQghrqIJsPCrupxUaRyoBFmX_6GP3Kd8","2019-10-22 15:29:35","2019-10-22 15:30:21","2019-10-22 15:30:21",NA,"realChinXXXSQ02-_cRsjI9agSPUGigLzQghrqIJsPCrupxUaRyoBFmX_6GP3Kd8",0,"thank the formr monkey","thank the formr monkey
many times",1,NA,NA,4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",6,6,0,0,"1234567890"
"21","beautifulKingPenguinXXXp5Nlp9lqiZGemYMGFqUwZCo_Ryk8vblKDbyOut8zZ","2019-10-22 15:30:54","2019-10-22 15:31:19","2019-10-22 15:31:19",NA,"beautifulKingPenguinXXXp5Nlp9lqiZGemYMGFqUwZCo_Ryk8vblKDbyOut8zZ",0,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",6,6,0,0,"1234567890"
"22","modernGilaMonsterXXXXjTS_QQrOjvUQP4WaXDpnWra2hFb6Nl-SHzKK_qi5iRJ","2019-10-22 15:33:34","2019-10-22 15:33:52","2019-10-22 15:33:52",NA,"modernGilaMonsterXXXXjTS_QQrOjvUQP4WaXDpnWra2hFb6Nl-SHzKK_qi5iRJ",1,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",NA,NA,2,NA,"0",6,6,0,0,"1234567890"
"23","breakableMantaRayXXXu_8hfVq2rBXcRUQnI-ZCyNl6s9R4DAXE9UhZ6Tz9Le5o","2019-10-22 15:34:02","2019-10-22 15:34:19","2019-10-22 15:34:19",NA,"breakableMantaRayXXXu_8hfVq2rBXcRUQnI-ZCyNl6s9R4DAXE9UhZ6Tz9Le5o",0,"thank the formr monkey","thank the formr monkey
many times",4,NA,"1",4,"1, 2, 3, 4",1,1,1,"formr_monkey@example.org",0,1,1,"quaternary","1",1,"1",1,1,"11:00:00","2012-01-01",NA,NA,NA,NA,NA,NA,NA,NA,"#ff0000",NA,"134.2.234.65","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0","The Wire","The Wire","0",2,NA,NA,NA,"0",6,6,0,0,"1234567890"
